PosGroup,Height,Weight,Birthdate,Exp
dback,70,190,1-Aug-89,5
lineb,72,245,27-Jun-90,5
off,78,310,21-Oct-89,4
lineb,74,250,21-Aug-85,9
lineb,74,242,8-Jul-93,0
off,76,296,26-Nov-84,7
dback,71,193,18-Jul-91,3
dback,70,200,12-Dec-86,7
lineb,76,258,31-Jul-82,12
off,75,317,18-Jun-91,4
off,74,323,14-Sep-91,4
lineb,76,247,1-Jun-92,1
lineb,74,245,3-Mar-88,7
off,77,315,22-Dec-88,4
dback,72,190,25-Jul-92,2
lineb,74,244,29-Dec-87,6
dback,71,190,3-May-90,4
dback,70,182,12-Oct-85,8
dback,71,198,1-Feb-91,4
dback,71,195,4-Jan-85,10
dback,71,199,14-Jul-93,0
off,78,310,14-Feb-91,3
off,74,300,4-Mar-86,8
off,78,326,28-Jul-92,2
lineb,74,245,12-Dec-84,9
dback,73,210,9-May-90,5
dback,71,193,9-Sep-93,0
off,76,310,11-Jul-92,0
lineb,74,241,2-Apr-90,5
dback,70,208,24-Jul-85,11
off,79,330,12-Dec-81,11
lineb,76,245,26-Apr-89,5
dback,72,212,14-Feb-91,4
lineb,72,240,7-Dec-86,5
dback,72,199,23-Apr-90,6
lineb,75,240,26-May-93,0
dback,71,200,9-Sep-92,0
dback,71,200,9-Sep-92,0
off,76,301,31-Aug-93,2
dback,71,201,15-Oct-90,4
dback,71,196,24-Mar-91,3
dback,72,196,1-Jun-93,2
dback,72,210,13-May-91,4
dback,73,210,3-Jul-88,5
lineb,76,262,9-May-91,4
dback,72,192,16-Mar-83,10
off,77,320,19-Jul-88,7
dback,71,191,15-Sep-93,0
lineb,73,233,27-Dec-89,4
dback,73,212,18-Nov-92,0
lineb,73,246,9-Mar-92,3
lineb,73,243,28-May-93,2
dback,73,209,9-Feb-94,0
dback,70,190,8-Sep-87,7
lineb,74,237,19-Aug-92,2
dback,72,212,19-Mar-90,5
off,79,310,17-Nov-83,10
off,76,320,10-Jul-91,4
off,76,310,18-Mar-86,8
lineb,72,233,21-Jul-86,9
dback,73,205,22-Feb-95,0
lineb,72,230,1-May-90,4
dback,73,198,5-Dec-89,4
lineb,76,246,23-Jul-89,6
lineb,72,240,29-Aug-94,0
lineb,72,240,29-Aug-94,0
dback,71,184,8-Apr-87,6
off,75,305,15-Sep-84,10
dback,72,205,9-Oct-91,1
off,80,320,24-Jun-87,7
dback,69,177,14-Mar-94,0
lineb,76,258,19-Sep-85,7
off,76,320,8-Mar-90,5
lineb,75,254,5-Mar-87,7
off,76,300,1-Jun-86,9
