PosGroup,Height,Weight,Birthdate,Exp
lineb,71,245,12-Dec-92,0
lineb,75,251,3-Nov-81,13
dback,71,193,2-Jan-94,2
lineb,73,233,23-Jan-90,5
dback,73,200,25-Dec-89,3
dback,70,201,4-Nov-90,3
dback,73,206,6-Jun-89,4
lineb,74,248,11-Jan-89,5
lineb,74,275,24-Feb-89,4
dback,73,202,23-Oct-93,0
lineb,73,235,22-Mar-83,12
lineb,73,230,17-May-92,3
dback,71,207,27-May-88,8
lineb,72,240,13-Jan-93,2
off,77,316,11-Jan-90,5
dback,71,210,29-Jun-85,9
dback,71,198,10-Oct-91,3
lineb,73,250,27-Sep-87,6
dback,69,200,22-Jan-93,2
dback,72,195,26-Apr-90,3
dback,72,195,26-Apr-90,3
dback,73,210,17-Feb-91,1
lineb,77,277,14-Jul-92,0
lineb,75,256,7-Sep-92,0
dback,71,182,6-Oct-92,0
dback,71,187,20-Apr-94,2
off,81,315,11-Oct-85,8
dback,75,190,8-Dec-91,2
dback,73,208,29-Jan-92,2
lineb,71,250,19-Jan-84,11
dback,74,203,22-Jul-92,2
off,81,330,14-Sep-85,9
lineb,76,269,12-Feb-93,2
lineb,73,230,21-Sep-85,10
lineb,73,240,15-Aug-91,2
off,74,303,16-Jun-92,2
dback,72,220,14-Dec-88,5
dback,72,200,13-May-92,1
dback,69,200,10-Jul-93,1
dback,70,208,21-Sep-91,4
lineb,73,245,29-Nov-85,8
dback,73,189,21-Nov-92,0
dback,71,176,18-Jul-93,0
lineb,75,255,11-Nov-91,3
lineb,75,250,16-Aug-91,2
off,77,313,23-Aug-92,2
dback,72,198,5-Jun-91,4
dback,71,211,10-Apr-93,0
dback,72,198,22-Feb-92,2
dback,72,219,27-Feb-91,3
off,77,307,13-Jul-93,0
lineb,77,245,25-Nov-91,0
dback,71,210,15-Jul-92,0
lineb,76,226,18-Nov-92,0
off,74,285,5-Jun-89,2
lineb,73,248,3-Oct-90,2
off,79,315,5-Jan-91,4
dback,69,187,18-Feb-86,9
lineb,75,245,16-Feb-92,3
lineb,75,240,8-Sep-92,0
lineb,74,252,19-Mar-91,3
lineb,75,249,24-Feb-92,0
lineb,72,232,3-Jan-90,2
lineb,73,250,1-Mar-89,6
off,77,328,7-Jan-86,8
off,78,312,1-Apr-91,1
dback,72,217,11-Aug-94,0
off,76,318,18-Mar-91,4
off,78,318,16-Jan-84,10
lineb,72,236,1-May-86,5
lineb,74,255,15-Jun-89,5
lineb,77,234,1-Jan-92,2
lineb,77,234,1-Jan-92,2
dback,71,196,13-Feb-95,0
dback,71,190,16-Feb-92,3
off,77,316,23-Sep-91,3
off,76,306,26-Jul-88,6
lineb,74,224,4-Nov-88,6
dback,70,190,23-Feb-92,3
dback,72,193,4-Apr-91,3
off,77,308,6-Apr-88,3
lineb,75,235,1-Jan-91,4
